planet_name,planet_alternate_name,planet_name_key,type,planetary_body_type,type_body,star_system,level,gravity,o2,condition,ok for 0 hab skill,temperature,atmosphere,magnetosphere,water,planet_resources,planet_resources_count,fauna,flora,biomes_cleaned,biomes_simple,traits_cleaned,criteria_match,water_simple,temperature_intensity,pressure_intensity,atmosphere_intensity,gravity_intensity,resources_matched,bodytype_for_predictor_algorithm,temp_for_predictor_algorithm,atmotype_for_predictor_algorithm,mag_for_predictor_algorithm,water_for_predictor_algorithm,fauna_predictor_algorithm,flora_predictor_algorithm,fauna_result,flora_result
Alpha Marae IV-b,,AlphaMaraeIVb,Rock,Moon,Rock Moon,Alpha Marae,45,0.51,,,,Temperate,Std M,None,Safe,"Al,Be,Cl,Co,Fe,H20,HnCn,Ni",8,Unknown,Unknown,"Archipelago,Desert-Rocky,Forest,Mountains,Ocean,Polar-Ice,SavannahBarren","Coastal,Desert,Forest,Mountains,Ocean,Ice,Savannah",Unknown,79.2%,Yes,0,0,3,0,3,4,4,5,1,6,1,1,1*,1*
Alpha Marae V,,AlphaMaraeV,Barren,Planet,Barren Planet,Alpha Marae,45,0.20,,,,Deep freeze,None,Very weak,None,"Al,Be,Eu,He-3",4,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,2,1,0,0,0*,0*
Ternion I,,TernionI,Barren,Planet,Barren Planet,Alpha Ternion,60,0.82,,,,Inferno,None,None,None,"Al,Be,Eu,He-3",4,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Ternion II,,TernionII,Rock,Planet,Rock Planet,Alpha Ternion,60,1.51,,,,Inferno,Extr CO2,Powerful,None,"Pu,U",2,Unknown,Unknown,"Desert-Sandy,Ocean","Desert,Ocean",Unknown,37.5%,No,1,2,3,0,0,4,7,4,7,1,0,0,0*,0*
Ternion III,,TernionIII,Rock,Planet,Rock Planet,Alpha Ternion,60,1.44,,,,Temperate,High O2,Powerful,Safe,"Ar,Cl,H20,Pb,R-COC,Ti,W",7,Unknown,Unknown,"Archipelago,Forest,Mountains,Ocean,Polar-Ice,SavannahBarren","Coastal,Forest,Mountains,Ocean,Ice,Savannah",Unknown,95.8%,Yes,0,2,0,0,1,4,4,6,7,6,7,6,7*,6*
Ternion III-a,,TernionIIIa,Barren,Moon,Barren Moon,Alpha Ternion,60,0.32,,,,Temperate,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,54.2%,No,0,0,0,0,2,3,4,1,1,1,0,0,0*,0*
Ternion IV,,TernionIV,Rock,Planet,Rock Planet,Alpha Ternion,60,0.94,,,,Frozen,Std M,Powerful,Chemical,"Cl,Fe,H20,Hg,Pb",5,Unknown,Unknown,"Hills,Mountains,Polar-Ice,SavannahBarren","Hills,Mountains,Ice,Savannah",Unknown,62.5%,Yes,0,0,3,0,1,4,2,5,7,3,0,0,0*,0*
Ternion IX,,TernionIX,Ice giant,Planet,Ice giant Planet,Alpha Ternion,60,1.96,,,,Deep freeze,H2,Weak,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,3,1,0,0,0*,0*
Ternion IX-a,,TernionIXa,Ice,Moon,Ice Moon,Alpha Ternion,60,0.10,,,,Deep freeze,None,None,Chemical,"Ar,C6Hn,H20,Ne",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Ternion IX-b,,TernionIXb,Ice,Moon,Ice Moon,Alpha Ternion,60,0.21,,,,Deep freeze,None,None,Chemical,"Ar,C6Hn,H20,Ne",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Ternion IX-c,,TernionIXc,Ice,Moon,Ice Moon,Alpha Ternion,60,0.28,,,,Deep freeze,None,None,Chemical,"Au,Cu,F,H20",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Ternion IX-d,,TernionIXd,Ice,Moon,Ice Moon,Alpha Ternion,60,0.27,,,,Deep freeze,None,None,Safe,"Ar,C6Hn,H20,R-COC",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Ternion V,,TernionV,Rock,Planet,Rock Planet,Alpha Ternion,60,1.51,,,,Frozen,Extr M,Powerful,Chemical,"Fe,H20,HnCn,Pb,Ta,U,W",7,Unknown,Unknown,"Hills,Mountains,Polar-Ice,SavannahBarren","Hills,Mountains,Ice,Savannah",Unknown,62.5%,Yes,0,2,3,0,2,4,2,5,7,3,0,0,0*,0*
Ternion V-a,,TernionVa,Rock,Moon,Rock Moon,Alpha Ternion,60,0.37,,,,Frozen,Thin CO2,None,Safe,"Cl,Co,H20,Ni,Pb,SiH3Cl,Xe",7,Unknown,Unknown,"Desert-Rocky,Hills,Mountains,Polar-Ice","Desert,Hills,Mountains,Ice",Unknown,62.5%,Yes,0,0,3,0,1,4,2,4,1,6,0,0,0*,0*
Ternion V-b,,TernionVb,Barren,Moon,Barren Moon,Alpha Ternion,60,0.08,,,,Frozen,None,None,None,,0,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,0,3,2,1,1,1,0,0,0*,0*
Ternion VI,,TernionVI,Rock,Planet,Rock Planet,Alpha Ternion,60,0.54,,,,Frozen,Thin N2,Very weak,Safe,"Cu,F,Fe,H20,Pb,Ta,Ti,W",8,Unknown,Unknown,"Desert-Rocky,Hills,Mountains,Polar-Ice,SavannahBarren","Desert,Hills,Mountains,Ice,Savannah",Unknown,62.5%,Yes,0,0,0,0,2,4,2,2,2,6,0,0,0*,0*
Ternion VI-a,,TernionVIa,Barren,Moon,Barren Moon,Alpha Ternion,60,0.21,,,,Frozen,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,2,1,1,1,0,0,0*,0*
Ternion VII,,TernionVII,Rock,Planet,Rock Planet,Alpha Ternion,60,0.58,,,,Deep freeze,Thin N2,Very strong,Safe,"Al,Be,Cl,H20,He-3,Li,SiH3Cl",7,Unknown,Unknown,"Cratered,Polar-Ice","Cratered,Ice",Unknown,45.8%,Yes,1,0,0,0,2,4,1,2,6,6,0,0,0*,0*
Ternion VIII,,TernionVIII,Ice,Planet,Ice Planet,Alpha Ternion,60,0.29,,,,Deep freeze,None,None,Chemical,"Cl,H20,SiH3Cl",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Tirna I,,TirnaI,Barren,Planet,Barren Planet,Alpha Tirna,35,0.22,,,,Scorched,Thin CO2,Weak,None,"Fe,He-3,Ta",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,3,0,2,3,6,4,3,1,0,0,0*,0*
Tirna II,,TirnaII,Rock,Planet,Rock Planet,Alpha Tirna,35,0.88,,,,Temperate,Std O2,Powerful,Safe,"Cl,Cu,Dy,F,H20,IL,Pb",7,Moderate (6),Moderate (6),"Desert-Rocky,Desert-Sandy,Mountains,Ocean,Polar-Ice","Desert,Mountains,Ocean,Ice","Ecological Consortium,Global Glacial Recession",100.0%,Yes,0,0,0,0,0,4,4,6,7,6,7,6,6,6
Tirna II-a,,TirnaIIa,Barren,Moon,Barren Moon,Alpha Tirna,35,0.18,,,,Temperate,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,54.2%,No,0,0,0,0,2,3,4,1,1,1,0,0,0*,0*
Tirna III,,TirnaIII,Rock,Planet,Rock Planet,Alpha Tirna,35,1.29,,,,Cold,High M,Powerful,Chemical,"Ag,Ar,Cl,Co,F,H20,Ni,Pb",8,Unknown,Unknown,"Desert-Sandy,Hills,Polar-Ice,SavannahBarren","Desert,Hills,Ice,Savannah",Unknown,45.8%,Yes,0,2,3,0,1,4,3,5,7,3,4,3,4*,3*
Tirna III-a,,TirnaIIIa,Barren,Moon,Barren Moon,Alpha Tirna,35,0.18,,,,Cold,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Tirna III-b,,TirnaIIIb,Barren,Moon,Barren Moon,Alpha Tirna,35,0.08,,,,Cold,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Tirna III-c,,TirnaIIIc,Barren,Moon,Barren Moon,Alpha Tirna,35,0.14,,,,Cold,None,None,None,"Fe,He-3",2,None,None,Cratered,Cratered,None,33.3%,No,0,0,0,0,2,3,3,1,1,1,0,0,0,0
Tirna IV,,TirnaIV,Rock,Planet,Rock Planet,Alpha Tirna,35,0.80,,,,Cold,Std M,Very strong,Safe,"Ar,Co,Fe,H20,Ni,U,V",7,Unknown,Unknown,"Hills,Mountains,Polar-Ice,SavannahBarren","Hills,Mountains,Ice,Savannah",Unknown,62.5%,Yes,0,0,3,0,2,4,3,5,6,6,7,6,7*,6*
Tirna IV-a,,TirnaIVa,Barren,Moon,Barren Moon,Alpha Tirna,35,0.16,,,,Cold,None,None,None,"Fe,He-3,Ta",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Tirna IX,,TirnaIX,Ice,Planet,Ice Planet,Alpha Tirna,35,0.22,,,,Deep freeze,None,None,Safe,"Cu,H20,xF4",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Tirna V,,TirnaV,Rock,Planet,Rock Planet,Alpha Tirna,35,0.89,,,,Frozen,Std N2,Average,Safe,"Cu,F,H20,Pb,U,V,W",7,Unknown,Unknown,"Desert-Rocky,Mountains,Polar-Ice,SavannahBarren","Desert,Mountains,Ice,Savannah",Unknown,62.5%,Yes,0,0,0,0,1,4,2,2,4,6,0,0,0*,0*
Tirna VI,,TirnaVI,Gas giant,Planet,Gas giant Planet,Alpha Tirna,35,1.86,,,,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,5,1,0,0,0*,0*
Tirna VI-a,,TirnaVIa,Ice,Moon,Ice Moon,Alpha Tirna,35,0.16,,,,Deep freeze,None,None,None,"Cu,F,H20,xF4",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,37.5%,No,1,0,0,0,0,3,1,1,1,1,0,0,0*,0*
Tirna VI-b,,TirnaVIb,Rock,Moon,Rock Moon,Alpha Tirna,35,0.45,,,,Frozen,Thin CO2,None,Chemical,"Al,Au,Cl,Cu,Eu,F,H20,He-3",8,Unknown,Unknown,"Cratered,Mountains,Polar-Ice,SavannahBarren","Cratered,Mountains,Ice,Savannah",Unknown,62.5%,Yes,0,0,3,0,2,4,2,4,1,3,0,0,0*,0*
Tirna VI-c,,TirnaVIc,Ice,Moon,Ice Moon,Alpha Tirna,35,0.06,,,,Deep freeze,None,None,Safe,"Cl,H20,SiH3Cl",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Tirna VI-d,,TirnaVId,Ice,Moon,Ice Moon,Alpha Tirna,35,0.21,,,,Deep freeze,None,None,Chemical,"Cl,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Tirna VI-e,,TirnaVIe,Ice,Moon,Ice Moon,Alpha Tirna,35,0.33,,,,Deep freeze,None,None,Safe,"Cl,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Tirna VII,,TirnaVII,Gas giant,Planet,Gas giant Planet,Alpha Tirna,35,3.81,,,,Deep freeze,H2,Massive,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,8,1,0,0,0*,0*
Tirna VII-a,,TirnaVIIa,Ice,Moon,Ice Moon,Alpha Tirna,35,0.23,,,,Deep freeze,None,None,Safe,"H20,Ni",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,6,0,0,0*,0*
Tirna VII-b,,TirnaVIIb,Ice,Moon,Ice Moon,Alpha Tirna,35,0.31,,,,Deep freeze,None,None,Safe,"H20,Pb,W",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,6,0,0,0*,0*
Tirna VII-c,,TirnaVIIc,Ice,Moon,Ice Moon,Alpha Tirna,35,0.14,,,,Deep freeze,None,None,Chemical,"H20,Ni",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,3,0,0,0*,0*
Tirna VIII,,TirnaVIII,Gas giant,Planet,Gas giant Planet,Alpha Tirna,35,1.70,,,,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,5,1,0,0,0*,0*
Tirna VIII-a,,TirnaVIIIa,Rock,Moon,Rock Moon,Alpha Tirna,35,0.35,,,,Deep freeze,None,None,Safe,,0,Unknown,Unknown,"Cratered,Polar-Ice,SavannahBarren","Cratered,Ice,Savannah",Unknown,45.8%,Yes,1,0,0,0,0,4,1,1,1,6,0,0,0*,0*
Tirna VIII-b,,TirnaVIIIb,Ice,Moon,Ice Moon,Alpha Tirna,35,0.19,,,,Deep freeze,None,None,Safe,"Ar,C6Hn,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Tirna VIII-c,,TirnaVIIIc,Rock,Moon,Rock Moon,Alpha Tirna,35,0.57,,,,Temperate,Thin M,Weak,Radioactive,"Dy,Fe,H20,HnCn,Pb,Ta,Ti,W",8,Unknown,Unknown,"Archipelago,Hills,Mountains,Ocean,Polar-Ice,SavannahBarren","Coastal,Hills,Mountains,Ocean,Ice,Savannah",Unknown,79.2%,Yes,0,0,3,0,2,4,4,5,3,4,3,2,3*,2*
Tirna VIII-d,,TirnaVIIId,Rock,Moon,Rock Moon,Alpha Tirna,35,0.65,,,,Temperate,Std O2,None,Biological,"Ar,C6Hn,Fe,H20,HnCn,Ni,R-COC,U",8,Unknown,Unknown,"Desert-Sandy,Forest,Mountains,Ocean,Polar-Ice,Wetlands","Desert,Forest,Mountains,Ocean,Ice,Wetlands",Unknown,95.8%,Yes,0,0,0,0,2,4,4,6,1,5,2,2,2*,2*
Tirna VIII-e,,TirnaVIIIe,Rock,Moon,Rock Moon,Alpha Tirna,35,0.50,,,,Deep freeze,None,None,Safe,"Al,Ar,C6Hn,H20,He-3,Ir,Ne,U",8,Unknown,Unknown,"Cratered,Polar-Ice,SavannahBarren","Cratered,Ice,Savannah",Unknown,45.8%,Yes,1,0,0,0,2,4,1,1,1,6,0,0,0*,0*
Tirna X,,TirnaX,Ice giant,Planet,Ice giant Planet,Alpha Tirna,35,1.79,,,,Deep freeze,H2,Very strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,6,1,0,0,0*,0*
Tirna X-a,,TirnaXa,Rock,Moon,Rock Moon,Alpha Tirna,35,0.54,,,,Deep freeze,None,Very weak,Biological,"Au,Cu,Fe,H20,Pb,Ti,W",7,Primordial (2),None,"Forest,Hills,Mountains,Ocean,Polar-Ice,SavannahBarren,Wetlands","Forest,Hills,Mountains,Ocean,Ice,Savannah,Wetlands",Gravitational Anomaly,66.7%,Yes,1,0,0,0,2,4,1,1,2,5,0,0,2,0
Tirna X-b,,TirnaXb,Ice,Moon,Ice Moon,Alpha Tirna,35,0.20,,,,Deep freeze,None,None,Chemical,"Cl,H20,SiH3Cl",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Tirna X-c,,TirnaXc,Ice,Moon,Ice Moon,Alpha Tirna,35,0.22,,,,Deep freeze,None,None,Chemical,"Au,Cu,F,H20",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Altair I,,AltairI,Rock,Planet,Rock Planet,Altair,15,0.80,,,,Scorched,Std CO2,Weak,None,"Ag,Co,Ir,Ni,Pb,Pt,Pu,U",8,None,None,"Desert-Rocky,Hills,Mountains,Volcanic","Desert,Hills,Mountains,Volcanic","Prismatic Plumes,Energetic Rifting,Gravitational Anomaly",50.0%,No,0,0,3,0,1,4,6,4,3,1,0,0,0,0
Altair II,,AltairII,Rock,Planet,Rock Planet,Altair,15,1.34,,,,Cold,High O2,Powerful,Safe,"Ar,C6Hn,H20,U",4,Marginal (5),Marginal (4),"Frozen Hills,Ocean,Rocky Desert","Desert,Frozen,Ocean","Psychotropic Biota, Sentient Microbial Colonies, Ecological Consortium",66.7%,Yes,0,2,0,0,0,4,3,6,7,6,9,7,5,4
Altair III,,AltairIII,Rock,Planet,Rock Planet,Altair,15,0.93,,,,Frozen,Std M,Weak,Safe,"Au,Cu,F,H20,Pb",5,None,None,"Desert-Rocky,Mountains,Polar-Ice,SavannahBarren","Desert,Mountains,Ice,Savannah","Frozen Ecosystem, Gaseous Font",58.3%,Yes,0,0,3,0,0,4,2,5,3,6,0,0,0,0
Altair III-a,Altair II-a,AltairIIIa,Asteroid,Moon,Asteroid Moon,Altair,15,0.06,,,,Cold,None,None,None,,0,None,None,Cratered,Cratered,Unknown,33.3%,No,0,0,0,0,0,1,3,1,1,1,0,0,0,0
Altair III-b,Altair II-b,AltairIIIb,Barren,Moon,Barren Moon,Altair,15,0.16,,,,Frozen,None,None,None,"Al,Be,He-3,Nd",4,None,None,Cratered,Cratered,Unknown,33.3%,No,0,0,0,0,2,3,2,1,1,1,0,0,0,0
Altair III-c,,AltairIIIc,Barren,Moon,Barren Moon,Altair,15,0.07,,,,Frozen,None,None,None,"Al,Be,He-3",3,None,None,Cratered,Cratered,Unknown,33.3%,No,0,0,0,0,2,3,2,1,1,1,0,0,0,0
Altair IV,,AltairIV,Gas giant,Planet,Gas giant Planet,Altair,15,3.04,,,,Frozen,H2,Massive,None,,0,None,None,Ocean,Ocean,Unknown,33.3%,No,0,0,0,4,0,2,2,3,8,1,0,0,0,0
Altair IV-a,,AltairIVa,Ice,Moon,Ice Moon,Altair,15,0.11,,,,Frozen,None,None,Safe,"Cu,H20,xF4",3,None,None,Polar-Ice,Ice,Crystalline Crust,41.7%,Yes,0,0,0,0,0,3,2,1,1,6,0,0,0,0
Altair IV-b,,AltairIVb,Ice,Moon,Ice Moon,Altair,15,0.14,,,,Frozen,None,None,Heavy metal,"Cl,H20,SiH3Cl",3,None,None,Polar-Ice,Ice,Crystalline Crust,41.7%,Yes,0,0,0,0,0,3,2,1,1,2,0,0,0,0
Altair IV-c,,AltairIVc,Rock,Moon,Rock Moon,Altair,15,0.60,,,,Cold,Std M,None,Chemical,"Cl,Co,H20,Ni,Pb,W",6,None,None,"Archipelago,Forest,Ocean,Polar-Ice,SavannahBarren","Coastal,Forest,Ocean,Ice,Savannah","Coralline Landmass, Emerging Tectonics, Extinction Event, Gravitational Anomaly",41.7%,Yes,0,0,3,0,2,4,3,5,1,3,3,2,0,0
Altair IV-d,,AltairIVd,Ice,Moon,Ice Moon,Altair,15,0.05,,,,Frozen,None,None,Safe,"H20,Ni",2,None,None,Polar-Ice,Ice,Crystalline Crust,41.7%,Yes,0,0,0,0,1,3,2,1,1,6,0,0,0,0
Altair V,,AltairV,Barren,Planet,Barren Planet,Altair,15,0.55,,,,Deep freeze,None,Weak,None,"Al,Be,He-3",3,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,3,1,0,0,0,0
Altair V-a,,AltairVa,Ice,Moon,Ice Moon,Altair,15,0.11,,,,Deep freeze,None,None,Chemical,"H20,Pb",2,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0,0
Andromas I,,AndromasI,Rock,Planet,Rock Planet,Andromas,15,0.51,,,,Inferno,Thin O2,Average,None,"Cl,Fe,H20,Ir,Ni,U,V,Xe",8,Unknown,Unknown,"Desert-Rocky,Desert-Sandy,Hills,Mountains","Desert,Hills,Mountains",Unknown,70.8%,No,1,0,0,0,2,4,7,6,4,1,0,0,0*,0*
Andromas II,,AndromasII,Rock,Planet,Rock Planet,Andromas,15,1.50,,,,Temperate,Extr O2,Powerful,Chemical,"Ar,Cl,F,H20,Li,Ni,R-COC,SiH3Cl",8,Unknown,Unknown,"Hills,Ocean,Polar-Ice,SavannahBarren","Hills,Ocean,Ice,Savannah",Unknown,79.2%,Yes,0,2,0,0,1,4,4,6,7,3,4,3,4*,3*
Andromas III,,AndromasIII,Rock,Planet,Rock Planet,Andromas,15,0.35,,,,Temperate,Thin O2,Very strong,Safe,"Al,Ar,Be,Eu,H20,He-3,Ne",7,Unknown,Unknown,"Cratered,Ocean,Polar-Ice","Cratered,Ocean,Ice",Unknown,79.2%,Yes,0,0,0,0,2,4,4,6,6,6,6,5,6*,5*
Andromas IV,,AndromasIV,Gas giant,Planet,Gas giant Planet,Andromas,15,3.41,,,,Frozen,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,0,0,0,4,0,2,2,3,5,1,0,0,0*,0*
Andromas IV-a,,AndromasIVa,Ice,Moon,Ice Moon,Andromas,15,0.07,,,,Frozen,None,None,Safe,"Ar,C6Hn,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,0,3,2,1,1,6,0,0,0*,0*
Andromas V,,AndromasV,Gas giant,Planet,Gas giant Planet,Andromas,15,1.87,,,,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,5,1,0,0,0*,0*
Andromas V-a,,AndromasVa,Ice,Moon,Ice Moon,Andromas,15,0.03,,,,Deep freeze,None,None,Chemical,,0,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Andromas V-b,,AndromasVb,Rock,Moon,Rock Moon,Andromas,15,0.70,,,,Temperate,Std O2,None,Biological,,0,Unknown,Unknown,"Forest,Mountains,Ocean,Polar-Ice","Forest,Mountains,Ocean,Ice",Unknown,95.8%,Yes,0,0,0,0,0,4,4,6,1,5,2,2,2*,2*
Andromas VI,,AndromasVI,Gas giant,Planet,Gas giant Planet,Andromas,15,1.57,,,,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,5,1,0,0,0*,0*
Andromas VI-a,,AndromasVIa,Ice,Moon,Ice Moon,Andromas,15,0.06,,,,Deep freeze,None,None,Chemical,"Cu,F,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Andromas VI-b,,AndromasVIb,Rock,Moon,Rock Moon,Andromas,15,0.35,,,,Deep freeze,Thin N2,None,None,"Al,Be,Cu,F,Fe,H20,He-3,HnCn",8,Unknown,Unknown,"Cratered,Hills,Mountains,Polar-Ice","Cratered,Hills,Mountains,Ice",Unknown,54.2%,No,1,0,0,0,3,4,1,2,1,1,0,0,0*,0*
Aranae I,,AranaeI,Barren,Planet,Barren Planet,Aranae,15,1.02,,,,Deep freeze,Std M,Weak,None,"Al,Be,He-3",3,Primordial (2),Primordial (1),Cratered,Cratered,Unknown,41.7%,No,1,0,3,0,2,3,1,5,3,1,0,0,2,1
Aranae II,,AranaeII,Barren,Planet,Barren Planet,Aranae,15,0.73,,,,Deep freeze,None,Weak,None,"Al,He-3",2,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,3,1,0,0,0,0
Aranae II-a,,AranaeIIa,Barren,Moon,Barren Moon,Aranae,15,0.13,,,,Deep freeze,None,None,None,"Al,He-3",2,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,1,1,0,0,0,0
Aranae II-b,,AranaeIIb,Barren,Moon,Barren Moon,Aranae,15,0.25,,,,Deep freeze,None,None,None,"Al,He-3",2,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,1,1,0,0,0,0
Aranae III,,AranaeIII,Barren,Planet,Barren Planet,Aranae,15,0.60,,,,Deep freeze,None,Weak,None,"Fe,He-3",2,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,3,1,0,0,0,0
Aranae IV,,AranaeIV,Gas giant,Planet,Gas giant Planet,Aranae,15,3.91,,,,Deep freeze,H2,Extreme,None,,0,None,None,Ocean,Ocean,Unknown,33.3%,No,1,0,0,4,0,2,1,3,8,1,0,0,0,0
Aranae IV-a,,AranaeIVa,Barren,Moon,Barren Moon,Aranae,15,0.31,,,,Deep freeze,None,None,None,"Fe,He-3,Ta",3,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,1,1,0,0,0,0
Aranae IV-b,,AranaeIVb,Barren,Moon,Barren Moon,Aranae,15,0.43,,,,Deep freeze,None,None,None,"Fe,He-3,HnCn",3,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,1,1,0,0,0,0
Aranae IV-c,,AranaeIVc,Ice,Moon,Ice Moon,Aranae,15,0.23,,,,Deep freeze,None,None,Chemical,"Cu,H20",2,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0,0
Aranae IV-d,,AranaeIVd,Ice,Moon,Ice Moon,Aranae,15,0.30,,,,Deep freeze,None,None,Chemical,"Cu,H20",2,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0,0
Aranae V,,AranaeV,Ice,Planet,Ice Planet,Aranae,15,0.37,,,,Deep freeze,None,None,Chemical,"H20,Pb",2,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0,0
Archimedes I,,ArchimedesI,Rock,Planet,Rock Planet,Archimedes,75,1.18,,,,Inferno,Std CO2,Powerful,None,"Co,Fe,H20,HnCn,Ni,Pt,U",7,Unknown,Unknown,"Desert-Rocky,Hills,Mountains,Volcanic","Desert,Hills,Mountains,Volcanic",Unknown,54.2%,No,1,0,3,0,2,4,7,4,7,1,0,0,0*,0*
Archimedes I-a,,ArchimedesIa,Barren,Moon,Barren Moon,Archimedes,75,0.14,,,,Inferno,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Archimedes II,,ArchimedesII,Rock,Planet,Rock Planet,Archimedes,75,0.46,,,,Temperate,Thin M,Average,Radioactive,"Ar,H20,U",3,Unknown,Unknown,"Archipelago,Ocean,Polar-Ice","Coastal,Ocean,Ice",Unknown,62.5%,Yes,0,0,3,0,0,4,4,5,4,4,3,3,3*,3*
